CID,C
CID000160617,C01103
CID000160636,C17737
CID000160647,C04691
CID000160666,C04823
CID000160913,C03838
CID000161165,C00328
CID000161214,C19787
CID000161227,C00204
CID000161233,C05841
CID000161255,C05604
CID000161276,C01852
CID000161355,C05143
CID000161500,C03373
CID000161597,C18902
CID000161824,C16560
CID000161937,C09627
CID000162180,C16608
CID000162204,C17942
CID000162350,C01714
CID000162602,C17755
CID000162976,C16609
CID000164628,C00363
CID000164673,C17660
CID000164674,C18042
CID000164697,C16673
CID000164719,C05638
CID000164735,C00447
CID000164800,C05274
CID000164838,C05471
CID000164853,C17658
CID000164874,C06309
CID000165003,C11817
CID000165007,C05382
CID000165130,C00789
CID000165186,C01261
CID000165271,C00860
CID000165331,C01962
CID000165381,C06197
CID000165388,C04751
CID000165390,C03460
CID000165435,C02939
CID000165436,C01832
CID000165490,C00857
CID000165511,C17333
CID000165620,C00582
CID000166760,C04734
CID000167489,C20237
CID000167685,C05502
CID000167759,C02990
CID000167775,C19630
CID000168166,C16528
CID000168718,C02949
CID000168934,C02405
CID000168951,C06083
CID000168989,C04332
CID000169075,C00825
CID000169508,C04244
CID000169621,C05259
CID000169732,C16590
CID000171161,C05642
CID000171548,C00120
CID000172312,C00354
CID000173183,C01789
CID000173719,C16652
CID000174174,C01479
CID000174549,C04582
CID000176951,C04091
CID000181740,C16362
CID000183009,C19605
CID000186004,C01159
CID000187790,C00330
CID000188288,C12440
CID000188960,C06156
CID000188966,C00206
CID000188984,C03166
CID000189003,C06674
CID000189062,C00885
CID000189122,C01031
CID000191190,C01114
CID000192735,C05487
CID000192781,C00684
CID000192878,C01250
CID000193002,C04297
CID000193187,C04020
CID000193305,C01165
CID000193321,C05446
CID000193396,C17336
CID000193425,C03344
CID000193475,C03287
CID000193524,C15776
CID000193537,C03267
CID000193545,C05827
CID000193577,C06056
CID000193735,C04916
CID000193886,C06019
CID000194139,C01804
CID000194140,C01841
CID000194428,C17580
CID000194695,C03871
CID000196146,C02587
CID000196427,C05778
CID000197189,C18001
CID000201434,C00552
CID000203442,C02627
CID000219833,C05484
CID000221493,C00695
CID000222284,C01753
CID000222528,C04483
CID000222528,C11171
CID000222656,C00149
CID000222786,C00762
CID000222865,C00674
CID000223997,C05285
CID000225936,C03044
CID000228215,C17217
CID000244872,C19625
CID000246873,C05482
CID000246983,C01724
CID000247304,C05301
CID000250388,C11821
CID000252379,C05290
CID000259846,C08628
CID000275196,C09592
CID000330573,C11395
CID000348154,C10447
CID000351795,C02938
CID000369312,C02452
CID000387316,C05465
CID000398937,C12162
CID000439153,C00004
CID000439155,C00021
CID000439160,C00085
CID000439162,C00093
CID000439163,C00095
CID000439167,C00117
CID000439168,C00118
CID000439174,C00140
CID000439175,C00143
CID000439176,C00170
CID000439178,C00185
CID000439183,C00197
CID000439184,C00199
CID000439186,C00208
CID000439190,C00231
CID000439191,C00236
CID000439192,C00247
CID000439193,C00252
CID000439194,C00258
CID000439195,C00259
CID000439197,C00270
CID000439203,C00309
CID000439204,C00310
CID000439205,C00312
CID000439213,C00329
CID000439215,C00333
CID000439216,C00337
CID000439220,C00361
CID000439227,C00408
CID000439231,C00424
CID000439232,C00437
CID000439233,C00439
CID000439235,C00441
CID000439236,C00620
CID000439237,C00445
CID000439240,C00476
CID000439242,C00492
CID000439244,C00501
CID000439245,C00508
CID000439249,C00513
CID000439250,C00521
CID000439251,C00522
CID000439255,C00532
CID000439258,C02291
